"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2021","44.47","41.50","45.00","40.20","10.09M","7.17%"
"Jan 19, 2021","41.50","43.50","44.00","41.03","4.17M","-2.35%"
"Jan 18, 2021","42.50","41.50","44.50","41.10","9.34M","4.94%"
"Jan 15, 2021","40.50","38.45","40.80","38.40","10.46M","5.74%"
"Jan 13, 2021","38.30","37.20","38.45","37.20","7.43M","4.22%"
"Jan 12, 2021","36.75","34.60","37.20","34.60","7.76M","6.21%"
"Jan 11, 2021","34.60","34.30","34.80","34.00","4.60M","0.87%"
"Jan 08, 2021","34.30","34.00","34.50","33.90","809.89K","1.00%"
"Jan 07, 2021","33.96","34.70","34.70","33.96","3.86M","-1.14%"
"Jan 06, 2021","34.35","34.65","35.00","34.07","1.72M","-0.58%"
"Jan 05, 2021","34.55","34.30","34.70","34.27","2.47M","0.73%"
"Jan 04, 2021","34.30","35.01","35.10","34.00","2.48M","-0.72%"
"Dec 31, 2020","34.55","34.94","35.00","34.51","3.68M","-0.72%"
"Dec 30, 2020","34.80","34.00","34.80","33.83","3.87M","2.81%"
"Dec 28, 2020","33.85","33.90","33.95","33.50","1.29M","0.18%"
"Dec 24, 2020","33.79","32.94","33.99","32.80","4.67M","2.92%"
"Dec 23, 2020","32.83","32.88","32.99","32.70","928.73K","0.71%"
"Dec 22, 2020","32.60","32.79","32.90","32.40","395.39K","0.71%"
"Dec 21, 2020","32.37","31.99","32.99","31.35","2.31M","3.25%"
"Dec 18, 2020","31.35","31.84","31.85","31.20","1.22M","-0.32%"
"Dec 17, 2020","31.45","32.00","32.00","31.40","1.50M","-1.10%"
"Dec 16, 2020","31.80","32.00","32.79","31.78","1.08M","-1.21%"
"Dec 15, 2020","32.19","32.70","32.70","32.00","2.08M","-0.95%"
"Dec 14, 2020","32.50","33.00","33.00","32.20","1.34M","-1.66%"
"Dec 11, 2020","33.05","32.09","33.09","31.77","1.15M","3.28%"
"Dec 10, 2020","32.00","32.60","32.84","31.99","2.13M","-1.87%"
"Dec 09, 2020","32.61","32.99","32.99","32.45","864.55K","-0.58%"
"Dec 08, 2020","32.80","33.01","33.10","32.77","2.05M","-2.38%"
"Dec 07, 2020","33.60","33.80","33.99","33.30","2.26M","0.00%"
"Dec 04, 2020","33.60","33.76","33.88","33.50","1.42M","-0.44%"
"Dec 03, 2020","33.75","33.70","33.75","33.40","2.31M","-0.09%"
"Dec 02, 2020","33.78","34.05","34.10","33.50","1.19M","-0.94%"
"Dec 01, 2020","34.10","33.90","34.27","33.85","1.84M","0.65%"
"Nov 30, 2020","33.88","34.10","34.20","33.65","3.50M","1.44%"
"Nov 27, 2020","33.40","33.28","33.75","33.00","2.69M","0.45%"
"Nov 26, 2020","33.25","32.90","33.90","32.90","4.29M","0.45%"
"Nov 25, 2020","33.10","31.50","33.49","31.50","11.25M","5.25%"
"Nov 24, 2020","31.45","31.10","31.75","31.00","6.53M","1.78%"
"Nov 23, 2020","30.90","31.70","31.70","30.86","10.00M","-2.52%"
"Nov 20, 2020","31.70","32.48","32.48","31.70","2.77M","-1.25%"
"Nov 19, 2020","32.10","32.61","33.00","32.00","3.38M","-2.61%"
"Nov 18, 2020","32.96","33.49","33.49","32.52","1.63M","-0.57%"
"Nov 17, 2020","33.15","32.41","33.25","31.90","9.79M","2.60%"
"Nov 16, 2020","32.31","32.60","32.90","32.11","2.70M","0.19%"
"Nov 13, 2020","32.25","32.50","33.19","32.20","3.44M","-0.77%"
"Nov 12, 2020","32.50","34.00","34.00","32.00","4.84M","-2.99%"
"Nov 11, 2020","33.50","33.10","34.50","30.00","24.15M","2.63%"
"Nov 10, 2020","32.64","35.00","36.50","32.30","6.81M","-13.81%"
"Nov 09, 2020","37.87","40.00","40.00","36.90","5.54M","-4.13%"
"Nov 06, 2020","39.50","40.00","42.50","39.40","8.67M","0.51%"
"Nov 05, 2020","39.30","35.10","39.90","35.10","15.74M","18.02%"
"Nov 04, 2020","33.30","32.50","33.30","32.50","5.56M","2.78%"
"Nov 03, 2020","32.40","31.39","32.49","31.00","5.58M","4.52%"
